Local Authority,2010/11,2016/17,Difference,% change,Drop/Rise/Same
Essex County Council,"£1,412,383","£1,392,722","-£19,660",-1.39%,Drop
Southampton City Council,"£354,500","£156,230","-£198,270",-55.93%,Drop
Bromley,"£397,838","£104,822","-£293,016",-73.65%,Drop
Halton,"£188,827","£120,000","-£68,827",-36.45%,Drop
South Tyneside Council,"£176,855","£181,887","£5,032",2.85%,Rise
Newham,"£413,201","£197,928","-£215,273",-52.10%,Drop
Peterborough,"£75,257","£60,206","-£15,051",-20.00%,Drop
Lancashire County Council,"£1,071,919","£973,106","-£98,813",-9.22%,Drop
Staffordshire County Council,"£1,429,496","£986,507","-£442,989",-30.99%,Drop
Hertfordshire County Council,"£851,753","£1,128,179","£276,426",32.45%,Rise
Bolton,"£293,231","£224,919","-£68,312",-23.30%,Drop
Cheshire East,"£672,627","£650,000","-£22,627",-3.36%,Drop
Oldham,"£245,000","£296,396","£51,396",20.98%,Rise
Wakefield,"£169,200","£98,800","-£70,400",-41.61%,Drop
Cornwall,"£489,765","£489,765",£0,0.00%,Same
Lambeth,"£755,658","£272,846","-£482,812",-63.89%,Drop
Sunderland,"£558,017","£605,001","£46,984",8.42%,Rise
Medway,"£85,097","£108,993","£23,896",28.08%,Rise
Surrey County Council,"£506,694","£338,842","-£167,852",-33.13%,Drop
Bath and North East Somerset,"£37,227","£54,974","£17,747",47.67%,Rise
Gateshead,"£140,337","£105,000","-£35,337",-25.18%,Drop
Stockport,"£179,077","£85,758","-£93,319",-52.11%,Drop
Enfield,"£357,017","£198,000","-£159,017",-44.54%,Drop
Southwark,"£130,650","£100,000","-£30,650",-23.46%,Drop
Bracknell-Forest,"£132,061","£70,064","-£61,996",-46.95%,Drop
Wirral,"£184,807","£175,191","-£9,616",-5.20%,Drop
Darlington Borough Council,"£93,662","£78,000","-£15,662",-16.72%,Drop
Cumbria County Council,"£138,273","£122,000","-£16,273",-11.77%,Drop
Shropshire County Council,"£347,728","£181,900","-£165,828",-47.69%,Drop
Devon County Council,£0,£0,£0,NA,Same
Reading Borough Council,"£281,614","£254,148","-£27,466",-9.75%,Drop
West Sussex County Council,"£438,815","£95,535","-£343,280",-78.23%,Drop
Derby City Council,"£157,498","£158,605","£1,107",0.70%,Rise
Waltham Forest,"£282,613","£283,845","£1,232",0.44%,Rise
Wokingham,"£21,854","£21,090",-£764,-3.50%,Drop
Blackpool,"£90,830","£64,781","-£26,049",-28.68%,Drop
Durham County Council,"£496,163","£437,394","-£58,769",-11.84%,Drop
Rochdale Borough Council,"£236,494","£219,872","-£16,622",-7.03%,Drop
City of York,"£181,140","£115,095","-£66,045",-36.46%,Drop
Knowsley,"£259,266","£169,738","-£89,528",-34.53%,Drop
Kent County Council,"£1,698,958","£1,473,032","-£225,926",-13.30%,Drop
Kensington and Chelsea,"£289,762","£158,473","-£131,289",-45.31%,Drop
Bristol City Council,"£483,878","£453,878","-£30,000",-6.20%,Drop
Brighton Hove,"£193,267","£241,000","£47,733",24.70%,Rise
Hull County Council,"£239,096","£184,250","-£54,847",-22.94%,Drop
Stoke City,"£193,188","£99,000","-£94,188",-48.75%,Drop
East Sussex,"£626,624","£326,143","-£300,481",-47.95%,Drop
TOTAL,"£31,795,320","£24,160,105","-£7,635,215",-24.01%,Drop
